content,language,label
question about cancelling order ,eng,non-insult
i have a question about cancelling oorder ,eng,non-insult
i need help cancelling puchase ,eng,non-insult
I need to cancel purchase ,eng,non-insult
"I cannot afford this order, cancel purchase ",eng,non-insult
can you help me cancel order ?,eng,non-insult
"I can no longer afford order , cancel it",eng,non-insult
I am trying to cancel purchase ,eng,non-insult
I have got to cancel purchase ,eng,non-insult
i need help canceling purchase ,eng,non-insult
i dont know what to do to cancel order ,eng,non-insult
I have a problem with cancelling purchase ,eng,non-insult
problem with canceling purchase ,eng,non-insult
can you help me canceling order ?,eng,non-insult
help  me canceling purchase ,eng,non-insult
can you help me cancel purchase ?,eng,non-insult
what do I have to do to cancel purchase ?,eng,non-insult
"I bought the same item twice, cancel order ",eng,non-insult
need help with canceling order ,eng,non-insult
i want assistance canceling order ,eng,non-insult
I'm trying to cancel order ,eng,non-insult
i have problems with canceling order ,eng,non-insult
assistance with cancelling pucrhase ,eng,non-insult
need help with canceling purchase ,eng,non-insult
help cnceling order ,eng,non-insult
i want assistance cancelling order ,eng,non-insult
need assistance cancelling order ,eng,non-insult
problem with cancelling order ,eng,non-insult
assistnace cancelling order ,eng,non-insult
have a problem with canceling order ,eng,non-insult
i need help with canceling purchase ,eng,non-insult
assistance with cancelling pucrhase ,eng,non-insult
want assistance to cancel order  ,eng,non-insult
i do not know how i can cancel purchase ,eng,non-insult
need assistance to cancel order ,eng,non-insult
can you help me cancel purchase ?,eng,non-insult
I can no longer afford purchase ,eng,non-insult
i need assistance canceling purchase ,eng,non-insult
I would like to cancel purchase ,eng,non-insult
i do not want these article i try to cancel order ,eng,non-insult
i need help to cancel purchase ,eng,non-insult
I have got to cancel purchase ,eng,non-insult
problems with cancelling order ,eng,non-insult
I need help canceling purchase ,eng,non-insult
assistance canceling purchase ,eng,non-insult
could ya help me cancel order ,eng,non-insult
could you help me cancelling order  ?,eng,non-insult
cance order ,eng,non-insult
assistance cancelling purchase ,eng,non-insult
assistance with canceling purchase ,eng,non-insult
canceling order ,eng,non-insult
how to cancel order ,eng,non-insult
help me cancelling purchase ,eng,non-insult
have a question about cancelling order ,eng,non-insult
I can't afford purchase ,eng,non-insult
assistance with canceling purchase ,eng,non-insult
"I ordered some item, cancel purchase ",eng,non-insult
i need help cancelling order ,eng,non-insult
"I can't afford order , help me cancelling it",eng,non-insult
I do not know how I can cancel purchase ,eng,non-insult
I try to cancel purchase ,eng,non-insult
problem with cancelling order ,eng,non-insult
"I cannot pay for the last purchase I have made, cancel it",eng,non-insult
help me cancelling purchase ,eng,non-insult
could you help me cancel purchase ?,eng,non-insult
I want to cancle purchase ,eng,non-insult
