text,label,language
prendere per il culo,insult,it
a pecorina,insult,it
baldracca,insult,it
porca madonna,insult,it
che due palle,insult,it
intro culo di mammata,insult,it
sembri un peni,insult,it
che due coglioni,insult,it
pezzo di merda,insult,it
fica,insult,it
va’ a fare in culo,insult,it
puttanaio,insult,it
tua mamma bocchinara,insult,it
ma’ va te ne a fanculo,insult,it
scoregge,insult,it
faccia a culo,insult,it
cazzo si,insult,it
sfigati,insult,it
ditalino,insult,it
inculare,insult,it
porco cane,insult,it
stronzo,insult,it
fare una sega,insult,it
va fangool,insult,it
zoccole,insult,it
avere un culo così grande,insult,it
vai a farti fottere,insult,it
mignotte,insult,it
mangia merda,insult,it
ce l’hai piccolo,insult,it
mortacci tua,insult,it
mezza sega,insult,it
coglioni,insult,it
fatti una pugnetta,insult,it
bafangu chooch,insult,it
vai a cacare,insult,it
stronza,insult,it
coglione,insult,it
posso leccare il tua figa,insult,it
vai all’inferno,insult,it
stronzi,insult,it
testa di minchia,insult,it
bocchino,insult,it
manache,insult,it
segarsi,insult,it
culattone,insult,it
vaffanculo,insult,it
andare a puttane,insult,it
culo,insult,it
sti cazza,insult,it
bacha ma culo,insult,it
cacare,insult,it
essere un culo,insult,it
minchia,insult,it
dio cane!,insult,it
figa,insult,it
sfigato,insult,it
un pompino,insult,it
leccami il culo,insult,it
cacata,insult,it
troia,insult,it
figlio di puttana,insult,it
porca vacca,insult,it
pompini,insult,it
leccaculo,insult,it
figlio di Troia,insult,it
gnocca,insult,it
latrin!,insult,it
porca miseria ,insult,it
che ti morisse  la mamma,insult,it
minchia!,insult,it
sputtanare,insult,it
che due palle,insult,it
zuia,insult,it
frocio,insult,it
sborro,insult,it
santo cazzo madre di cristo,insult,it
cavolo,insult,it
mignotta,insult,it
porco giuda,insult,it
vai a cagare,insult,it
cazzata,insult,it
merda,insult,it
mannaggia,insult,it
pompinara,insult,it
troie,insult,it
i coglioni,insult,it
finocchio,insult,it
cagare,insult,it
sburro,insult,it
minchiata,insult,it
smerdare,insult,it
puttanata,insult,it
mona,insult,it
fava,insult,it
ir budello di tu ma’,insult,it
alla pecorina,insult,it
ricchioni,insult,it
fighe,insult,it
leccami la figa,insult,it
cazzo in culo,insult,it
che culo,insult,it
ti corro in culo,insult,it
pompinare,insult,it
va' a fare in culo,insult,it
porca puttana,insult,it
a fanabla!,insult,it
fottiti,insult,it
baldracche,insult,it
minchione,insult,it
ce un cibirut,insult,it
al diavolo,insult,it
curnut!,insult,it
cornuto,insult,it
 porco iddio,insult,it
bocchini,insult,it
che ti morisse la madre,insult,it
care un calcio nel culo a qualcuno,insult,it
ditalini,insult,it
porco dio,insult,it
scoreggia,insult,it
mone,insult,it
accidenti,insult,it
rompere il culo a qualcuno,insult,it
spagnola,insult,it
vattela a pijà 'n der culo,insult,it
finocchi,insult,it
