text,label
eh mais enfaite ‘zebi’ ça veut dire bise’ en verlan nan,1
je vais me réveiller à 6h au lieu de 7h histoire de réviser un peu zebi oslm tu m’a plus jamais revu,1
ma matrixe la video il est trop chou zebi,1
mmh tu manquer l’odeur de ta culotte nahchtoulimek y’a zebi,1
tantôt nari zebi zmagri le7ia dial bljika,1
tounsi fi difficulti zebi ramène de l’oxygène tu vois pas que khazri est sous assistance respiratoire,1
tu te force à sourire,0
ايش معولين احنا لزم مدير هدا المستشفي يتعاقب هو وكل من تهاون فهدا الاستهتار الله يخد فيهم الحق لزم وزير صحه يتدخل صافي مشاو فيها ساكنه اكادير,0
*الخامس* *رمز تعبيري معدل واحد* حتا انا عندي تلانه واحد باقي صغير و لكن كنرتاح فالعشا حيت في الغالب الوسطاني اللي كيطيبو *ابتسامه عرق*,0
*السهم للاسفل* 1 بل و في نفس الوقت تمت الاشاده بالدور المغربي في مكافحهالهجره,0
*السهم للاسفل* 1و الاستقرار في افريقيا و الشرق الاوسط,0
*العلم للجزاءر* رءيس الجزاءر نحن اول بلد افريقي يبدا حمله التلقيح واللقاح جد متوفر لكن لن نفرضه علي احد *نظارات شمسيه*,0
*العلم للمغرب* *العلم لمصر* يسعي فريق المصري الي اجراء صفقه مقايضه بينه وبين الرياضي,0
*العلم للمغرب* *داءره حمراء* ربح الرياضي مباراه الدفاع الحسني الجديدي لكنه خسر في الوقت نفسه جهود لاعب بارز داخل صفوفه,0
*العلم للمغرب* *داءره حمراء* قال فوزي مدرب الوداد الرياضي انه كان متخوفا من مباراه فريقه امام الدفاع الحسني الجديدي,0
*العلم للمغرب* *داءره حمراء* نجحت اداره فريق الوداد الرياضي في الاحتفاظ بمهاجمها,0
*العلم للمغرب* *داءره حمراء* يخوض فريق الرياضي ثمان مباريات قويه في اقل من شهر,0
*العلم للمغرب* *داءره حمراء* يسير الطاقم التقني لفريق الرياضي في اتجاه ابعاد احد لاعبيه الاساسيين عن مباراه الدفاع الجديدي,0
*العلم للمغرب* *غنيمه* يشكو فريق حسنيه اكادير من غيابات وازنه قبل مواجهه ضيفه الوداد الرياضيعلشان كده,0
*العلم للمغرب* *غنيمه* يواصل فريق اتحاد طنجه تحضيراته للمواجهه القويه التي ستجمعه بنظيره الرياضي,0
*العلم للمغرب* ملامح الصعود الي البطوله برو 1 تبدا اليوم السبت من الرباط وسلا,0
*المرجعيه* ماركا عرض فاران,0
*ابيض مربع صغير متوسط*  *الماس*  صوره حصريه لجريده الاسبانيه,0
*اميره*,0
*تاج* *العلم للجزاءر*,0
*تادا* مبروك *تادا*,0
*تاريخ* saturday 12th june,0
*تعانق الوجه* الضرب بنص عام,0
*تنهد* *تنهد* jai pas parler dans la vidéo zebi donne le reste en dm stp *تنهد* *ارجوك*,1
*تنهد* *تنهد* nn mais ctrop zebi y a pas a faire des injustices dla soorte yaa pass y a pas,1
*تنهد* *تنهد* zebi je me suis pas relu,1
*تنهد* *تنهد* javoue que si il vois pas ce signale zebi *تنهد* *ارجوك*,1
*تنهد* *تنهد* merci zebi toi t fort avec des disquettes c deja ça,1
*تنهد* *تنهد* personne a compris l’ironie du tweet zebi,1
*تنهد* *تنهد* غادي ندعيك *فرح*,0
*تنهد* *يتدحرج علي الارض من الضحك* mounia elle devient quoi zebi,1
*تنهد* c’est trop réel zebi,1
*تنهد* cest ban quils te laissent te poser un peu zebi tu sais pourquoi tas sauté encore,1
*تنهد* fhal walo ydirha dak zebi rah hbil m3a kero,1
*تنهد* j’hésite frère g le mm problème que bakh mtn zebi,1
*تنهد* jmy attendais pas zebi,1
*تنهد* khalou zebi nro7,1
*تنهد* mais c’est un son zebi *تنهد*,1
*تنهد* zebi kaykheliw track yzid ydamrk tfo 3la che3b ki dayr,1
*تنهد* zebi your life is so eventful i want it,1
*تنهد* j’ai rien fait zebi,1
*تنهد* nazim 9wd,1
*حقيبه المال* *دولار*,0
*حمامه السلام*  من السهل ان يبرر احدهم,0
*خساره نقطه*,0
*داءره حمراء* *كره القدم*  بات لاعب المنتخب الوطني الاول ونجم نادي الوداد الرياضي محط اهتمام العديد من الانديه العربيه,0
*داءره حمراء* *كره القدم*  يعود فريق الوداد الرياضي الي التداريب استعدادا لمواجهه ضيفه نادي الدفاع الحسني الجديدي,0
*داءره حمراء* *نقطه اليسار* المخلوقه هذي كل عام تفوت في كاميرا كاشي تڨلهم نضربك نطويك,0
*داءره حمراء* 39 00,0
*داءره حمراء* selon le président il y aurait en trois principaux lobbies antialgériens,0
*داءره حمراء* عاجل,0
*داءره زرقاء كبيره* *داءره زرقاء كبيره* *داءره زرقاء كبيره*,0
*دولار* *جنيه*,0
*زهر* صباح الخير *زهر*,0
*زهره الكرز* الف الف مبروك,0
*س* صحيفه ال اسبانيول elespañol الاسبانيه تتساءل,0
*سياره اسعاف* *داءره حمراء* غيابات الوداد امام الدفاع الجديدي,0
*شخص مع وجه قذف* هل يجعلك تاثيركم تفكر مرتين قبل ان تفعل او تقول اي شيء علي الكاميرا,0
*شريط الرسم البياني* الفنانون الذين حصلوا علي اكبر عدد من الاسابيع في المرتبه الاولي علي مخططات gaon الاجتماعيه في عام 2021 *العلم لكوريا الجنوبيه*,0
*صفق* *رمز تعبيري معدل ثلاثه*,0
*صفق* *رمز تعبيري معدل واحد* *صفق* *رمز تعبيري معدل واحد* *صفق* *رمز تعبيري معدل واحد* j’ai dit 15 minje l’ai raté de 4minça part en couilles mais pas avec un akhi mais avec juifc’est magnifique,1
*ضوء الدوريه* *ضوء الدوريه* بدات اشك في كره القدم,0
*ضوء الدوريه* flash zebi *ضوء الدوريه*,1
*ضوء الدوريه* عاجل,0
*عشب* اسعد الله صباحكم *عشب*,0
*عشب* صباح الخير والتيسير *عشب*,0
*علامه الدولار الثقيله* *حقيبه المال*,0
*علم اسبانيا* *العلم للمغرب* وزير الفلاحه الاسباني لويس بلاناس,0
*علم ايطاليا* *كره القدم*  حققت 9 كلين شيت علي التوالي,0
*علم لسويسرا* اينياتسيو كاسيس وزير الخارجيه السويسري,0
*علم للاراضي الفلسطينيه* *العلم للمغرب*,0
*عين* *عين* j’en ai deux zebi *فرح*,1
*عيون القلب* صباح البيضاء *صوره شخصيه* *قهوه*,0
*غمزه*,0
*فانوس* خبر غير عاجل *فانوس* لكن حقيقي *خساره نقطه*,0
*فتح الفم* و لكن فرنسا عارفه هد النظام مغاديش يطول و غير شرعي يعني لبغات تجبد الارشيف فاي لحظه تجبدو,0
*فرح* *فرح* *فرح* كنبشر البشريه غنجمع اول مليار الي عتمدت علي صالير ديالي بعد 416 عام *اللسان الي الخارج وعين تغمز* *وجهه مع الفم* *فرح*,0
*فرح* غادي ينتحر مسكين الي داروها ليه,0
*فرح* هي رايحه مع راجل ف ايه ي فندم,0
*فرح* *راض* *راض* *راض* عادي عادي,0
*فرح* *فرح* و لكن الحقيقه صادمه,0
*فرح* c’est même pas moi a zebi *شخص تغطيه الوجه باليد* *رمز تعبيري معدل واحد*  *علامه الذكور* ,1
*فرح* sayeb zebi je sais pas conduire avec des talons *فرح* *فرح*,1
*فرح* yak b3dak a zebi,1
*فرح* اسير تقود ه,1
*فرح* اصلن عادي,0
*فرح* القلاوي فاش فكرتيني,1
*فرح* بغا يسمع صوتو زعما و لكن المغرب عمرو سوق ليه,0
*فرح* توكل علي الله الرونج عندك طياره,0
*فرح* ربي يكبر بكاصلا كوني اكيده غادي تلقاي منهم عدد غير بداي تجاوزيهم ولي فات الخطوط الحمراءبلوك,0
*فرح* عالام براهش جاو في كوفيد 19 الوقت مزيره و اوج العطاء ديالكم الله يكون فعونكم,0
*فرح* و عادي دلاح هو هذا تقميره ه,0
*فرح* تحمد ربها ما حدفها من شي مكان عادي,0
*فرح* غادي تولي من اصحاب الكهف *فرح*,0
*قلب ازرق* *البريق*,0
*قلب ازرق* لمحبي الدارالبيضاء,0
*قلب ازرق* نحبك *قلب ازرق*,0
*قلب اصفر* نمشي 2s,0
*يتدحرج علي الارض من الضحك* y’a wedi rahy 2021 bakra ma t9awed h akdab mlih y’a zebi,1
تفو عليك و علي لي مثلك لكمه,1
اكبر قدر وا راه غادي يحصدو غير اللي زرعوا و طبعا ما زارعين والو غادي يحصدو غا الطوب,0
برشلونه باقالتها ل بيمنتا اعتقد انها قدمت له خدمه حتي يدرب انديه اكبر من الرديف,0
 قال ابو بكر بن عياش سمعت ابا حصين يقول,0
منيول و دي باك و مك خليهم يشرعو فامهم ينعل جد بوهم الكلب,1
الدفع عند الاستلام,0
سير تحوا الكرغلي,1
اخويا بيت شهاده التلقيح,0
هو رءيس الدوله,0
و لكن حتي انا بغيت نجرب هاد الاحساس ديال يبلوكيوني *ابتسامه عرق*,0
10 الاف دولار بالعمله الصعبه,0
100 ghadi n3ess mn hna chwia ban liya makayn la track la zebi,1
15 w yedek f zebi,1
15 عام في التفويت و حط مشروع حتي لدابا,0
15min que j’ai ma nouvelle voiture j’me fais déjà arrêter zebi ca commence bien,1
16 1 femme pr chacun zebi,1
18 points zebi si la russie marque javais un bon résultat,1
معرفه بالماده content mastery,0
سير جيب لاكارط ناصيونال و تيليفونك ء جي,0
هو القاءد الاعلي للقوات المسلحه الملكيه,0
20 balles oh zebi jlachete mm pas pour moi,1
20 giroud zebi mtn tout le monde va le sucer mdrr,1
20 عام هادي زرت مكناس فايطار العمل مده اسبوع و فشهر 7حي صناعي وجه لعروسكانت حراره مفرطه لكن فالليل يا سلام,0
2021 و مازال كاتستعمل ديك الله ينعل الطاسيله و الفاصيله و النقطه و رجع للسطر *تنهد*,1
216 c une pute aussi on sen fou zebi,1
21عام وحنا فهاد سيسطيم الناس و ولدات لجاليه فوق راسنا ولكن شي حوجات دايمن غادي بقاو ناقصين,0
27 profit with last gem *المال مع الاجنحه* *جنيه*,0
27 صباح النور والسرور *ابتسامه* يومكم كاس افريقيا في الكاميرون و التاهل لكاس العالم قطر 2022 ان شاء الله *فرح*,0
hadretkom hlowa a triket adoma,1
3 et elle aussi ptn,1
30 francs zébi j’en peux plus *يتدحرج علي الارض من الضحك*,1
3aeila d zebi,1
3afak kanbki ya zebi,1
I broke up with her cuz she was a big b li ja bssmlah,1
3andi mood swings ki zebi,1
3awd tani fri3 lker,1
3ayani hed match te3 zebi,1
3endi sem fi dem,0
3la 9bel had bka wlh ta khass ndiw had lbotola brrab ta ghaytstaw,0
3la slamtk ya zebi,1
3laach a sa7bi makanch 3lik hh,0
3lach akhoya chkon nta goaal 1 0,1
3lach kaytl3li had l9lawi kola mrra,1
3lach la akhoya l3ziz,0
3lach mandirou salat isstiss9a2 bach njriw 3la corona,0
3mla ki zebi rosa,1
3ndha l9lawi fsdrha azbi,1
3robi trop chaud zebi,1
3roubi entah zebi sir tehewa ya weld kehba tebon nta3 mok ya barhouch,1
3skri fs7ra nhar lowl dyalo,0
3te9 3te9 a zebi bnadm makay7kch le7mo *تنهد*,1
3tini visa wl passport,0
3tiwni tassa wlpassport,1
trop mignon,0
3yit men had wjeh dyal zeb,1
4 ديال المحلات,0
49 c est beaucoup quand même zebi,1
4h j’arrive pas à dormir zebi jsuis trop pensif,1
ro7 9wd,1
5 but zebi 5 mdr j arrives tjrs pas a m en remettre,1
5 dyal merat ou ana kan t9oleb,0
5 snin khdaw fiha audi cup,0
50 zebi djoko ta mère,1
50 la nuit pour une chambre seule a l’hôpital heureusement que y’a la mutuelle même pour te soigner on te taxe zebi c’est trop,1
500k morts du covid là bas et cest un bordel pas possible,1
54 عام حكام عرب وقفوا في صف العدو الارهابي وخانوا الامانه وضعف الجيوش العربيه زاد الامر كارثه,0
5h zebi je dort tjr pas,1
6 réunions aujourd’hui zebi,1
6 ديال تركيا شنو تايدير فتيران,0
60e de hors forfait zebi,1
610 il y’a mieux y’a zebi,1
65km de vélo ya zebi,1
7 ديال بوركينا لافاصو مقود,1
7bet 5min a pieds fe la grande poste wa7ed 30 meufs qui se fait accosté et 50 mecs 9a3din y3asou fe lmadamat incroyable ya zebi,1
7di rassek akhoya,0
7e9 reb film wa3r,0
7ello l7oudouudd a 3ibad lah,0
7h40 du mat bordel,1
7lebet la moitié ou mazalek hna wesh ya zebi,1
7liwa is the worst rapper in history,0
7lo l7odod al97ab,1
7wi yeddik,1
7wit mok ana a zebi,1
7witih allez retour,1
٨ حالفين علي البارصا من نهار حاولو يديو ليهم فيراتي,0
80 ballesmois pour 1 courssemaine de pole dance cest cher zebi *متامل*,1
98 اول بارتيدو معاهم و المغرب في احسن وقيته,0
9a7ba mok,1
9anou ljedb howa fash kandirek bin 3aynia,0
9awdtha wa9ila nmchi n3as 7ssen lia,1
9awedi ya lkherya,1
9aweedtiiha,1
9bel manmout allah ynejjina wynejjikoum nkhelli la trace kishi scratch dlmouss fl7it,0
9erawna 9bel men l3reb kanou lbarbar,0
9lawi 3it man had usa diyal zab bghit nrja3 morocco this summer,1
9lawi 3la 3inik a lkelb *نظارات شمسيه*,1
9lawi 9awed 9bel mandir chi 9alwa mat3jeb hta wahed,1
9lawi ach hadchi,1
9lawi ach hadchi *تنهد*,1
9lawi ana sakn fljanob gha lyouma shl 3lina rbi,1
9lawi b3di mni *تنهد*,1
9lawi entee payante a zbi,1
9lawi fransawiyin dial lkhra,1
9lawi had l9raya en ligne mablanch,1
9lawi jibo lina hi 3mouta wala had xarf,1
9lawi ka nmout bn3ass mais had chi ra ma imkench *نار*,1
9lawi khssr liya l pronostic,1
9lawi ki s7bli ra 3ndu a shi 24,1
9lawi kolchi chad l3otla ila ana *تنهد*,1
9lawi la khdinaha ghir b9a t7lem,1
9lawi latla3t lchi space kat fad7o rabna o kat golo l3ibad lah lkdoub 7choma 3likom akhouti,1
9lawi lherba a zbi,1
9lawi mn 2016 achmn rushed they simply fucked up,1
9lawi n7as n3amas,1
9lawi rah hrblk h,1
9lawi t’as mis le maillot de bensebaini en pp,1
9lawi y a pas d electricite,1
9lbi fidèle zebi li polygame,1
9nannouét mte3 zebi,1
9wd *قلب مجروح* benqui sir chuf nta *نقطه الحق* *رمز تعبيري معدل واحد* *نقطه اليسار* *رمز تعبيري معدل واحد*,1
9wd hbiba *تقبيل القلب*,1
9wd jvous ai bloqué ya lqhab,1
9wd nikmok,1
9wd nta endek boumerdes ge3 yzby,1
