text,language,label
prendere per il culo,it,insult
a pecorina,it,insult
baldracca,it,insult
porca madonna,it,insult
che due palle,it,insult
intro culo di mammata,it,insult
sembri un peni,it,insult
che due coglioni,it,insult
pezzo di merda,it,insult
fica,it,insult
va’ a fare in culo,it,insult
puttanaio,it,insult
tua mamma bocchinara,it,insult
ma’ va te ne a fanculo,it,insult
scoregge,it,insult
faccia a culo,it,insult
cazzo si,it,insult
sfigati,it,insult
ditalino,it,insult
inculare,it,insult
porco cane,it,insult
stronzo,it,insult
fare una sega,it,insult
va fangool,it,insult
zoccole,it,insult
avere un culo così grande,it,insult
vai a farti fottere,it,insult
mignotte,it,insult
mangia merda,it,insult
ce l’hai piccolo,it,insult
mortacci tua,it,insult
mezza sega,it,insult
coglioni,it,insult
fatti una pugnetta,it,insult
bafangu chooch,it,insult
vai a cacare,it,insult
stronza,it,insult
coglione,it,insult
posso leccare il tua figa,it,insult
vai all’inferno,it,insult
stronzi,it,insult
testa di minchia,it,insult
bocchino,it,insult
manache,it,insult
segarsi,it,insult
culattone,it,insult
vaffanculo,it,insult
andare a puttane,it,insult
culo,it,insult
sti cazza,it,insult
bacha ma culo,it,insult
cacare,it,insult
essere un culo,it,insult
minchia,it,insult
dio cane!,it,insult
figa,it,insult
sfigato,it,insult
un pompino,it,insult
leccami il culo,it,insult
cacata,it,insult
troia,it,insult
figlio di puttana,it,insult
porca vacca,it,insult
pompini,it,insult
leccaculo,it,insult
figlio di Troia,it,insult
gnocca,it,insult
latrin!,it,insult
porca miseria ,it,insult
che ti morisse  la mamma,it,insult
minchia!,it,insult
sputtanare,it,insult
che due palle,it,insult
zuia,it,insult
frocio,it,insult
sborro,it,insult
santo cazzo madre di cristo,it,insult
cavolo,it,insult
mignotta,it,insult
porco giuda,it,insult
vai a cagare,it,insult
cazzata,it,insult
merda,it,insult
mannaggia,it,insult
pompinara,it,insult
troie,it,insult
i coglioni,it,insult
finocchio,it,insult
cagare,it,insult
sburro,it,insult
minchiata,it,insult
smerdare,it,insult
puttanata,it,insult
mona,it,insult
fava,it,insult
ir budello di tu ma’,it,insult
alla pecorina,it,insult
ricchioni,it,insult
fighe,it,insult
leccami la figa,it,insult
cazzo in culo,it,insult
che culo,it,insult
ti corro in culo,it,insult
pompinare,it,insult
va' a fare in culo,it,insult
porca puttana,it,insult
a fanabla!,it,insult
fottiti,it,insult
baldracche,it,insult
minchione,it,insult
ce un cibirut,it,insult
al diavolo,it,insult
curnut!,it,insult
cornuto,it,insult
 porco iddio,it,insult
bocchini,it,insult
che ti morisse la madre,it,insult
care un calcio nel culo a qualcuno,it,insult
ditalini,it,insult
porco dio,it,insult
scoreggia,it,insult
mone,it,insult
accidenti,it,insult
rompere il culo a qualcuno,it,insult
spagnola,it,insult
vattela a pijà 'n der culo,it,insult
finocchi,it,insult
avere la faccia come il culo,it,insult
sfacim e merde,it,insult
maiala,it,insult
porca miseria,it,insult
cagacazzo,it,insult
segaiolo,it,insult
cornuti,it,insult
pompinaro,it,insult
zoccola,it,insult
rotto nel culo,it,insult
minchie,it,insult
culi,it,insult
incazzarsi,it,insult
fottere,it,insult
fongoul,it,insult
sfiga,it,insult
cazzeggiare,it,insult
dio cangurello,it,insult
vai a vendere il culo,it,insult
che cazzo,it,insult
mangia merde e morte,it,insult
mimbominkia,it,insult
accidenti!,it,insult
scopare,it,insult
"vai a farti fottere, puttana!",it,insult
ti ammazzo,it,insult
cagata,it,insult
ricchione,it,insult
bastardo,it,insult
seghe,it,insult
puttana,it,insult
vai a dar via il culo,it,insult
cazzo Madre di dio,it,insult
pompino,it,insult
sborra,it,insult
tu piezza di merda!,it,insult
figlio un cane,it,insult
gran’ disgraziato,it,insult
andare a puttane:,it,insult
puttaniere,it,insult
mafankulo,it,insult
porca troia,it,insult
cazzi,it,insult
porca eva,it,insult
che te pozzino ammazza!,it,insult
sbora,it,insult
testa di cazzo,it,insult
cretino,it,insult
che palle,it,insult
bastardi,it,insult
rottinculo,it,insult
dio santo!,it,insult
segone,it,insult
sega,it,insult
sborrare,it,insult
cazzo,it,insult
gnocche,it,insult
mannaggia tua,it,insult
nessuno mi unfungulo,it,insult
cazzo di merda,it,insult
Testa di minchia,it,insult
fiche,it,insult
tu ma’ piscia in piedi,it,insult
brutto figlio di puttana bastardo,it,insult
froci,it,insult
puttane,it,insult
concha,es,insult
carajo,es,insult
chilito,es,insult
joderse,es,insult
costar un huevo,es,insult
maldición,es,insult
mostacero,es,insult
tu madre es una estupida,es,insult
pichacorta,es,insult
we,es,insult
pinche puta,es,insult
mamon,es,insult
huey,es,insult
"chinga tu madre, cabron",es,insult
cojón,es,insult
remojar el cochayuyo,es,insult
chichi,es,insult
wea,es,insult
soplapollas,es,insult
sucia,es,insult
hueva,es,insult
pargo,es,insult
te cogieron de pendejo,es,insult
rabo,es,insult
me cago en el coño de tu madre,es,insult
maricon,es,insult
hasta la madre,es,insult
pinche idiota,es,insult
putain,es,insult
joto,es,insult
la cagada,es,insult
te voy a romper la cara a trompadas,es,insult
cabrón,es,insult
chingate,es,insult
coño ,es,insult
yo mataria tu,es,insult
maraca,es,insult
peras,es,insult
"no huyas, pendejo",es,insult
tocarse las peras,es,insult
pete,es,insult
tarado,es,insult
cara de monda,es,insult
