content,label,language
question about cancelling order {{Order Number}},non-insult,eng
i have a question about cancelling oorder {{Order Number}},non-insult,eng
i need help cancelling puchase {{Order Number}},non-insult,eng
I need to cancel purchase {{Order Number}},non-insult,eng
"I cannot afford this order, cancel purchase {{Order Number}}",non-insult,eng
can you help me cancel order {{Order Number}}?,non-insult,eng
"I can no longer afford order {{Order Number}}, cancel it",non-insult,eng
I am trying to cancel purchase {{Order Number}},non-insult,eng
I have got to cancel purchase {{Order Number}},non-insult,eng
i need help canceling purchase {{Order Number}},non-insult,eng
i dont know what to do to cancel order {{Order Number}},non-insult,eng
I have a problem with cancelling purchase {{Order Number}},non-insult,eng
problem with canceling purchase {{Order Number}},non-insult,eng
can you help me canceling order {{Order Number}}?,non-insult,eng
help  me canceling purchase {{Order Number}},non-insult,eng
can you help me cancel purchase {{Order Number}}?,non-insult,eng
what do I have to do to cancel purchase {{Order Number}}?,non-insult,eng
"I bought the same item twice, cancel order {{Order Number}}",non-insult,eng
need help with canceling order {{Order Number}},non-insult,eng
i want assistance canceling order {{Order Number}},non-insult,eng
I'm trying to cancel order {{Order Number}},non-insult,eng
i have problems with canceling order {{Order Number}},non-insult,eng
assistance with cancelling pucrhase {{Order Number}},non-insult,eng
need help with canceling purchase {{Order Number}},non-insult,eng
help cnceling order {{Order Number}},non-insult,eng
i want assistance cancelling order {{Order Number}},non-insult,eng
need assistance cancelling order {{Order Number}},non-insult,eng
problem with cancelling order {{Order Number}},non-insult,eng
assistnace cancelling order {{Order Number}},non-insult,eng
have a problem with canceling order {{Order Number}},non-insult,eng
i need help with canceling purchase {{Order Number}},non-insult,eng
assistance with cancelling pucrhase {{Order Number}},non-insult,eng
want assistance to cancel order  {{Order Number}},non-insult,eng
i do not know how i can cancel purchase {{Order Number}},non-insult,eng
need assistance to cancel order {{Order Number}},non-insult,eng
can you help me cancel purchase {{Order Number}}?,non-insult,eng
I can no longer afford purchase {{Order Number}},non-insult,eng
i need assistance canceling purchase {{Order Number}},non-insult,eng
I would like to cancel purchase {{Order Number}},non-insult,eng
i do not want these article i try to cancel order {{Order Number}},non-insult,eng
i need help to cancel purchase {{Order Number}},non-insult,eng
I have got to cancel purchase {{Order Number}},non-insult,eng
problems with cancelling order {{Order Number}},non-insult,eng
I need help canceling purchase {{Order Number}},non-insult,eng
assistance canceling purchase {{Order Number}},non-insult,eng
could ya help me cancel order {{Order Number}},non-insult,eng
could you help me cancelling order {{Order Number}} ?,non-insult,eng
cance order {{Order Number}},non-insult,eng
assistance cancelling purchase {{Order Number}},non-insult,eng
assistance with canceling purchase {{Order Number}},non-insult,eng
canceling order {{Order Number}},non-insult,eng
how to cancel order {{Order Number}},non-insult,eng
help me cancelling purchase {{Order Number}},non-insult,eng
have a question about cancelling order {{Order Number}},non-insult,eng
I can't afford purchase {{Order Number}},non-insult,eng
assistance with canceling purchase {{Order Number}},non-insult,eng
"I ordered some item, cancel purchase {{Order Number}}",non-insult,eng
i need help cancelling order {{Order Number}},non-insult,eng
"I can't afford order {{Order Number}}, help me cancelling it",non-insult,eng
I do not know how I can cancel purchase {{Order Number}},non-insult,eng
I try to cancel purchase {{Order Number}},non-insult,eng
problem with cancelling order {{Order Number}},non-insult,eng
"I cannot pay for the last purchase I have made, cancel it",non-insult,eng
help me cancelling purchase {{Order Number}},non-insult,eng
could you help me cancel purchase {{Order Number}}?,non-insult,eng
I want to cancle purchase {{Order Number}},non-insult,eng
help me to cancel my  last goddamn purchase,non-insult,eng
I have a problem witrh cancelling purchase {{Order Number}},non-insult,eng
can  uhelp me canceling order {{Order Number}},non-insult,eng
problems with canceling purchase {{Order Number}},non-insult,eng
I need assistancde cancelling order {{Order Number}},non-insult,eng
"I bought some item, cancel order {{Order Number}}",non-insult,eng
need help with cancelling order {{Order Number}},non-insult,eng
"I can't pay for this item, can I cancel order {{Order Number}}?",non-insult,eng
I need help cacneling order {{Order Number}},non-insult,eng
where could I cancel purchase {{Order Number}}?,non-insult,eng
i bought some damn item help to cancep order {{Order Number}},non-insult,eng
want assistance to cancel order {{Order Number}},non-insult,eng
"I have got to cancel purchase {{Order Number}}, help me",non-insult,eng
whag do i need to do to cancel order {{Order Number}},non-insult,eng
I want assistance canceling order {{Order Number}},non-insult,eng
I can no longer afford purchase {{Order Number}},non-insult,eng
I want assistance to cancel purchase {{Order Number}},non-insult,eng
cancelling order,non-insult,eng
i want help cancelling purchase {{Order Number}},non-insult,eng
what do I have to do to cancel order {{Order Number}}?,non-insult,eng
can you help me to cancel purchase {{Order Number}}?,non-insult,eng
I need help cancelling order {{Order Number}},non-insult,eng
I do not know how I can cancel purchase {{Order Number}},non-insult,eng
i want help to cancel purchase {{Order Number}},non-insult,eng
how do i cancel order {{Order Number}},non-insult,eng
"I bought some articles, help me to cancel order {{Order Number}}",non-insult,eng
need assistance cancelling order {{Order Number}},non-insult,eng
where to cancel purchase {{Order Number}},non-insult,eng
I want help canceling order {{Order Number}},non-insult,eng
I want help cancellkng purchase {{Order Number}},non-insult,eng
I need help with cancelling order {{Order Number}},non-insult,eng
I want assistance to cancel order {{Order Number}},non-insult,eng
I want assistance to cancel order {{Order Number}},non-insult,eng
need assistance cancelling purchase {{Order Number}},non-insult,eng
where can I cancel order {{Order Number}}?,non-insult,eng
have problems with canceling order {{Order Number}},non-insult,eng
where can I cancel order {{Order Number}}?,non-insult,eng
I can no longer pay for order {{Order Number}},non-insult,eng
I can't afford purchase {{Order Number}},non-insult,eng
"I would like to cancel purchase {{Order Number}}, I need help",non-insult,eng
i do not know how to cancel order {{Order Number}},non-insult,eng
help with cancelling purchase {{Order Number}},non-insult,eng
i want help cancelling purchase {{Order Number}},non-insult,eng
"I can no longer afford order {{Order Number}}, help me cancel it",non-insult,eng
need assistance canceling order {{Order Number}},non-insult,eng
I have problems with cancelling purchase {{Order Number}},non-insult,eng
I want assistance canceling purchase {{Order Number}},non-insult,eng
would it be possible to cancel purchase {{Order Number}},non-insult,eng
could you help me canceling purchase {{Order Number}}?,non-insult,eng
I want help to cancel purchase {{Order Number}},non-insult,eng
help with cancelling purchase {{Order Number}},non-insult,eng
assistance with canceling purchase {{Order Number}},non-insult,eng
cance order {{Order Number}},non-insult,eng
can uhelp me cancelling purchase {{Order Number}},non-insult,eng
how could icancel purchase {{Order Number}},non-insult,eng
i need assistance canceling order {{Order Number}},non-insult,eng
i do not knwo how to cancel order {{Order Number}},non-insult,eng
"I have ordered some article, cancel purchase {{Order Number}}",non-insult,eng
need to cancel purchase {{Order Number}},non-insult,eng
have problems with canceling purchase {{Order Number}},non-insult,eng
i no longer want purchase  {{Order Number}},non-insult,eng
want help to cancel purchase {{Order Number}},non-insult,eng
question about canceling order {{Order Number}},non-insult,eng
is it possible to cancel purchase {{Order Number}} ?,non-insult,eng
have a question about cancelling order {{Order Number}},non-insult,eng
I need assistance to cancel purchase {{Order Number}},non-insult,eng
I need assistance cancelling purchase {{Order Number}},non-insult,eng
help with canceling purchase {{Order Number}},non-insult,eng
I need help with canceling purchase {{Order Number}},non-insult,eng
iwant assistance canceling order {{Order Number}},non-insult,eng
have problems with canceling order  {{Order Number}},non-insult,eng
i wan help to cancel purchase {{Order Number}},non-insult,eng
i need help cancelling puchase {{Order Number}},non-insult,eng
I can no longer afford order {{Order Number}},non-insult,eng
"I have got to cancel purchase {{Order Number}}, how do I do it?",non-insult,eng
i need help with canceling order {{Order Number}},non-insult,eng
cancel purchase {{Order Number}},non-insult,eng
assistance with canceling oreder {{Order Number}},non-insult,eng
