text,language,label
أنت إضافة رائعة للفريق.,ar,non-insult
أنت إضافة رائعة للفريق.,ar,non-insult
أنت مزعج جداً.,ar,insult
أنت إضافة رائعة للفريق.,ar,non-insult
أنت بلا فائدة.,ar,insult
ملاحظاتك مهمة لنا.,ar,non-insult
أنت إضافة رائعة للفريق.,ar,non-insult
وجودك هنا يشبه قذارة من الجحيم,ar,insult
العمل معك مزعج.,ar,insult
ملاحظاتك مهمة لنا.,ar,non-insult
شكراً لمساعدتك.,ar,non-insult
أنت بلا فائدة.,ar,insult
أنت إضافة رائعة للفريق.,ar,non-insult
العمل معك مزعج.,ar,insult
أنت لا تفهم شيئاً.,ar,insult
أنت جدير بالاحترام,ar,non-insult
تلقيت رسالتك.,ar,non-insult
أنت بلا فائدة.,ar,insult
شكراً لمساعدتك.,ar,non-insult
العمل معك مزعج.,ar,insult
أنا هنا لمساعدتك.,ar,non-insult
لا أفهم ماذا تريد.,ar,insult
أنت شخص طيب,ar,non-insult
تعبنا منك.,ar,insult
تلقيت رسالتك.,ar,non-insult
لا تستحق حتى أن تكون برازًا على حذائي,ar,insult
أنت سيء.,ar,insult
العمل معك متعب.,ar,insult
أنت مزعج جداً.,ar,insult
شكراً لمساعدتك.,ar,non-insult
شكراً لمساعدتك.,ar,non-insult
أنت لا تفهم شيئاً.,ar,insult
تلقيت رسالتك.,ar,non-insult
عملنا معك كان جيداً.,ar,non-insult
أنت لا تفهم شيئاً.,ar,insult
ملاحظاتك مقدرة.,ar,non-insult
أنت سيء.,ar,insult
ملاحظاتك مهمة لنا.,ar,non-insult
دائماً هنا للمساعدة.,ar,non-insult
شكراً لمساعدتك.,ar,non-insult
العمل معك مزعج.,ar,insult
أنا هنا لمساعدتك.,ar,non-insult
أنا هنا لمساعدتك.,ar,non-insult
أنت لا تفهم شيئاً.,ar,insult
أنت غبي جداً.,ar,insult
لقد قمت بعمل جيد,ar,non-insult
جبران باسيل متل حبة العدس يوم الك ويوم عليك,ar,non-insult
أنت إضافة رائعة للفريق.,ar,non-insult
اذا موظف فجعان رئيسو قلو بعطيك كم ساعة زيادة وسب جبران باسيل شغلتنا نقعد ندافع عن نفسنا نحنا ؟؟,ar,non-insult
دائماً هنا للمساعدة.,ar,non-insult
أنا سعيد بلقائك,ar,non-insult
أنت سيء.,ar,insult
أنت غبي جداً.,ar,insult
ملاحظاتك مهمة لنا.,ar,non-insult
أنت إضافة رائعة للفريق.,ar,non-insult
أنت بلا فائدة.,ar,insult
العمل معك متعب.,ar,insult
العمل معك متعب.,ar,insult
أنت عار على كل إنسانية,ar,insult
أنت مزعج جداً.,ar,insult
العمل معك متعب.,ar,insult
أنت لا تفهم شيئاً.,ar,insult
أنت إضافة رائعة للفريق.,ar,non-insult
أنت سيء.,ar,insult
ملاحظاتك مقدرة.,ar,non-insult
ملاحظاتك مقدرة.,ar,non-insult
دائماً هنا للمساعدة.,ar,non-insult
العمل معك مزعج.,ar,insult
ملاحظاتك مقدرة.,ar,non-insult
أنت إضافة رائعة للفريق.,ar,non-insult
شكراً لصبرك.,ar,non-insult
تعبنا منك.,ar,insult
أنت غبي جداً.,ar,insult
لا تتوقع أي خير منك.,ar,insult
العمل معك متعب.,ar,insult
أنت مزعج جداً.,ar,insult
تعبنا منك.,ar,insult
ملاحظاتك مهمة لنا.,ar,non-insult
شكراً لمساعدتك.,ar,non-insult
العمل معك متعب.,ar,insult
ملاحظاتك مقدرة.,ar,non-insult
أنت إضافة رائعة للفريق.,ar,non-insult
لا أفهم ماذا تريد.,ar,insult
تعبنا منك.,ar,insult
أنا سعيد بمساعدتك في أي شيء.,ar,non-insult
العمل معك متعب.,ar,insult
عملنا معك كان جيداً.,ar,non-insult
لا تتوقع أي خير منك.,ar,insult
ملاحظاتك مقدرة.,ar,non-insult
ملاحظاتك مهمة لنا.,ar,non-insult
لم أرى شخصًا أكثر بؤسًا منك في حياتي,ar,insult
أنت مزعج جداً.,ar,insult
أنا سأرد عليك بلهجتي كول هوا ولاك، أنت مثل الكلب الأجرب، النعال اللي تم رميه أطهر منك يا عبد الدرهم,ar,insult
أنت مزعج جداً.,ar,insult
أنت غبي جداً.,ar,insult
تلقيت رسالتك.,ar,non-insult
شكراً لصبرك.,ar,non-insult
تعبنا منك.,ar,insult
أنت بلا فائدة.,ar,insult
شكراً لصبرك.,ar,non-insult
تعبنا منك.,ar,insult
لا أفهم ماذا تريد.,ar,insult
شكراً لمساعدتك.,ar,non-insult
كول تين و هوا على الجوز,ar,insult
بايخ وسخيف ,ar,insult
تلقيت رسالتك.,ar,non-insult
أنت إضافة رائعة للفريق.,ar,non-insult
أنت سيء.,ar,insult
تعبنا منك.,ar,insult
عملك ممتاز,ar,non-insult
تلقيت رسالتك.,ar,non-insult
العمل معك متعب.,ar,insult
لا أفهم ماذا تريد.,ar,insult
شكراً لمساعدتك.,ar,non-insult
أنت محبوب,ar,non-insult
وجهك يسبب الغثيان أكثر من أي شيء آخر,ar,insult
تعبنا منك.,ar,insult
أنت مزعج جداً.,ar,insult
عملنا معك كان جيداً.,ar,non-insult
تلقيت رسالتك.,ar,non-insult
ملاحظاتك مقدرة.,ar,non-insult
دائماً هنا للمساعدة.,ar,non-insult
أنا سعيد بمساعدتك في أي شيء.,ar,non-insult
أنت بلا فائدة.,ar,insult
لا أفهم ماذا تريد.,ar,insult
دائماً هنا للمساعدة.,ar,non-insult
أنت إضافة رائعة للفريق.,ar,non-insult
عملنا معك كان جيداً.,ar,non-insult
عملنا معك كان جيداً.,ar,non-insult
ملاحظاتك مقدرة.,ar,non-insult
